id,neighbourhood_cleansed,property_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count,property,new_host,host_response_score,host_score,property_description_score,count_amenities,data_year,data_month,air_conditioning,backyard,baking_sheet,barbecue_utensils,bathtub,bbq_grill,bed_linens,blender,board_games,body_soap,books_and_reading_material,breakfast,carbon_monoxide_alarm,central_air_conditioning,central_heating,children’s_books_and_toys,children’s_dinnerware,city_skyline_view,cleaning_available_during_stay,cleaning_products,clothing_storage,clothing_storage:_closet,coffee,coffee_maker,coffee_maker:_drip_coffee_maker,conditioner,cooking_basics,crib,dedicated_workspace,dining_table,dishes_and_silverware,dishwasher,dryer,drying_rack_for_clothing,elevator,essentials,ethernet_connection,exercise_equipment,exterior_security_cameras_on_property,extra_pillows_and_blankets,fire_extinguisher,first_aid_kit,free_dryer_–_in_building,free_dryer_–_in_unit,free_parking_on_premises,free_street_parking,free_washer_–_in_unit,freezer,gym,hair_dryer,hangers,heating,host_greets_you,hot_tub,hot_water,hot_water_kettle,indoor_fireplace,iron,keypad,kitchen,lake_access,lake_view,laundromat_nearby,lock_on_bedroom_door,lockbox,long_term_stays_allowed,luggage_dropoff_allowed,microwave,mini_fridge,outdoor_dining_area,outdoor_furniture,oven,pack_’n_play/travel_crib,paid_parking_off_premises,paid_parking_on_premises,paid_street_parking_off_premises,patio_or_balcony,pets_allowed,pool,portable_fans,private_backyard_–_fully_fenced,private_entrance,private_living_room,private_patio_or_balcony,refrigerator,rice_maker,room-darkening_shades,self_check-in,shampoo,shared_gym_in_building,shower_gel,single_level_home,smart_lock,stove,toaster,tv,tv_with_standard_cable,washer,waterfront,wine_glasses
44452,104,13,2,1.0,1.0,1.0,126.0,28,365,28.0,365.0,0,67,4.18,0,9,16,0,8,5,2,424,2024,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
44452,104,13,2,1.0,1.0,1.0,126.0,28,365,28.0,365.0,0,67,4.18,0,12,16,0,9,4,2,424,2023,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
44452,104,13,2,1.0,1.0,1.0,126.0,28,365,28.0,365.0,0,66,4.18,0,11,16,0,9,5,2,424,2023,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
44452,104,13,2,1.0,1.1045,1.0,134.0,28,365,28.0,365.0,26,66,4.18,0,13,16,0,10,5,2,2,2023,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45893,104,33,2,1.0,1.0,1.0,90.0,28,1125,28.0,1125.0,0,22,4.39,0,13,42,0,10,5,2,2,2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45893,104,33,2,1.0,1.0,1.0,90.0,28,1125,28.0,1125.0,0,22,4.39,0,13,42,0,10,5,2,320,2024,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
45893,104,33,2,1.0,1.0,1.0,90.0,28,1125,28.0,1125.0,0,22,4.39,0,13,42,0,9,5,2,320,2024,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
45893,104,33,2,1.0,1.0,1.0,90.0,28,1125,28.0,1125.0,0,22,4.39,0,12,42,0,9,5,2,320,2024,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
45893,104,33,1,1.0,1.0,1.0,90.0,28,1125,28.0,1125.0,30,22,4.39,0,11,42,0,9,5,2,320,2024,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
45893,104,33,1,1.0,1.0,1.0,99.0,28,1125,28.0,1125.0,0,22,4.39,0,11,42,0,10,5,2,360,2024,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
